"","E10.5","E12.5_1","E12.5_2","E14.5_1","E14.5_2","E16.5_1","E16.5_2"
"Atrial Myocyte 1",2,986,1718,725,706,637,526
"Ventricular Myocyte 1",4751,23,32,0,0,0,0
"Atrial Myocyte 2",45,1174,1551,747,627,311,263
"Endothelial Cell 1",4001,13,20,1,0,0,0
"Ventricular Myocyte 2",0,0,0,15,29,1949,1816
"Ventricular Myocyte 3",31,1289,1762,305,233,82,73
"Ventricular Myocyte 4",0,16,28,1506,1234,65,67
"Undifferentiated Cell",29,517,836,372,466,298,302
"Ventricular Myocyte 5",1,12,18,526,594,718,715
"Endothelial Cell 2",28,666,795,334,255,245,258
"Epicardial Cell 1",4,85,113,327,348,675,702
"AVC 1",0,497,687,383,351,104,95
"AVC 2",623,335,411,102,127,20,32
"Ventricular Myocyte 6",2,19,59,160,457,73,662
"Ventricular Myocyte 7",4,227,272,223,145,251,278
"Epicardial Cell 2",349,224,321,104,133,72,64
"Erythroild Cell 1",212,303,432,13,16,3,3
"Endothelial Cell 3",299,178,198,106,122,31,37
"Erythroild Cell 2",0,0,1,166,123,345,223
"Endothelial Cell 4",23,25,35,149,159,184,188
"Ventricular Myocyte 8",0,0,0,28,23,354,261
"Macrophage",36,66,66,93,73,107,84
"Endothelial Cell 5",395,23,31,25,15,14,17
"Medoderm-derived Cell",69,41,50,37,31,40,42
"Erythroild Cell 3",5,31,34,120,96,7,4
